IND_NAME,DIM_GEO_NAME,IND_CODE,DIM_GEO_CODE,DIM_TIME_YEAR,DIM_1_CODE,VALUE_NUMERIC,VALUE_STRING,VALUE_COMMENTS
Reported number of people requiring interventions against NTDs,Afghanistan,SDGNTDTREATMENT,AFG,2022,,14367281.0,14367281.0,Aggregation across diseases
"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country ",Afghanistan,SDGODA01,AFG,2022,,7.34000015259,7.3,
Tuberculosis incidence (per 100 000 population),Afghanistan,MDG_0000000020,AFG,2022,,185.0,185.0,
Under-five mortality rate (per 1000 live births),Afghanistan,MDG_0000000007,AFG,2022,SEX_BTSX,57.6796798706,58.0,
Age-standardized prevalence of obesity among adults (18+ years) (%),African Region,NCD_BMI_30A,AFR,2022,SEX_BTSX,12.0842399597,12.1,
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,African Region,M_Est_tob_curr_std,AFR,2022,SEX_BTSX,9.5,9.5,
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),African Region,SDGODAWS,AFR,2022,,2499.56103516,2499.6,
Density of dentists (per 10 000 population) ,African Region,HWF_0010,AFR,2022,,0.20000000298,0.2,
Density of medical doctors (per 10 000 population) ,African Region,HWF_0001,AFR,2022,,2.59999990463,2.6,
Density of nursing and midwifery personnel (per 10 000 population) ,African Region,HWF_0006,AFR,2022,,11.3000001907,11.3,
Density of pharmacists (per 10 000 population) ,African Region,HWF_0014,AFR,2022,,0.40000000596,0.4,
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),African Region,WHS4_100,AFR,2022,,72.0,72.0,
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),African Region,SDGHPVRECEIVED,AFR,2022,SEX_FMLE,22.0,22.0,
Malaria incidence (per 1000 population at risk),African Region,MALARIA_EST_INCIDENCE,AFR,2022,,222.614013672,222.6,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),African Region,MCV2,AFR,2022,,45.0,45.0,
Neonatal mortality rate (per 1000 live births),African Region,WHOSIS_000003,AFR,2022,SEX_BTSX,26.2924098969,26.0,
New HIV infections (per 1000 uninfected population),African Region,SDGHIV,AFR,2022,SEX_BTSX,0.569999992847,0.6,
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),African Region,PCV3,AFR,2022,,68.0,68.0,
Prevalence of obesity among children and adolescents (5–19 years) (%),African Region,NCD_BMI_PLUS2C,AFR,2022,SEX_BTSX,3.97129011154,4.0,
Prevalence of overweight in children under 5 (%),African Region,NUTOVERWEIGHTPREV,AFR,2022,,3.90000009537,3.9,
Prevalence of stunting in children under 5 (%),African Region,NUTSTUNTINGPREV,AFR,2022,,31.0,31.0,
Prevalence of wasting in children under 5 (%),African Region,NUTRITION_WH_2,AFR,2022,,5.5,5.5,
Proportion of population using a hand-washing facility with soap and water (%),African Region,WSH_HYGIENE_BASIC,AFR,2022,,25.534860611,26.0,
Proportion of population using safely-managed drinking-water services (%),African Region,WSH_WATER_SAFELY_MANAGED,AFR,2022,,33.2643318176,33.0,
Proportion of population using safely-managed sanitation services (%),African Region,WSH_SANITATION_SAFELY_MANAGED,AFR,2022,,25.6028804779,26.0,
Proportion of population with primary reliance on clean fuels and technology (%),African Region,PHE_HHAIR_PROP_POP_CLEAN_FUELS,AFR,2022,,23.7999992371,24.0,
Proportion of safely treated domestic wastewater flows (%),African Region,WSH_DOMESTIC_WASTE_SAFELY_TREATED,AFR,2022,,23.9848403931,24.0,
Reported number of people requiring interventions against NTDs,African Region,SDGNTDTREATMENT,AFR,2022,,579196352.0,579196352.0,
"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country ",African Region,SDGODA01,AFR,2022,,5.34512615204,5.4,
Tuberculosis incidence (per 100 000 population),African Region,MDG_0000000020,AFR,2022,,208.0,208.0,
Under-five mortality rate (per 1000 live births),African Region,MDG_0000000007,AFR,2022,SEX_BTSX,69.6368331909,70.0,
Age-standardized prevalence of obesity among adults (18+ years) (%),Albania,NCD_BMI_30A,ALB,2022,SEX_BTSX,23.3601894379,23.4,
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Albania,M_Est_tob_curr_std,ALB,2022,SEX_BTSX,21.8999996185,21.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017-18. This is a projection.
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Albania,SDGODAWS,ALB,2022,,30.3022003174,30.3,
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Albania,WHS4_100,ALB,2022,,97.0,97.0,
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Albania,SDGHPVRECEIVED,ALB,2022,SEX_FMLE,15.0,15.0,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Albania,MCV2,ALB,2022,,93.0,93.0,
Neonatal mortality rate (per 1000 live births),Albania,WHOSIS_000003,ALB,2022,SEX_BTSX,6.96381378174,7.0,
New HIV infections (per 1000 uninfected population),Albania,SDGHIV,ALB,2022,SEX_BTSX,0.019999999553,0.0,
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Albania,PCV3,ALB,2022,,87.0,87.0,
Prevalence of obesity among children and adolescents (5–19 years) (%),Albania,NCD_BMI_PLUS2C,ALB,2022,SEX_BTSX,7.52263021469,7.5,
Prevalence of overweight in children under 5 (%),Albania,NUTOVERWEIGHTPREV,ALB,2022,,13.3999996185,13.4,
Prevalence of stunting in children under 5 (%),Albania,NUTSTUNTINGPREV,ALB,2022,,8.30000019073,8.3,
Proportion of births attended by skilled health personnel (%),Albania,MDG_0000000025,ALB,2022,,100.0,100.0,"Unclear definition of the cadres included. Institute of Statistics, Men and Women 2023"
Proportion of population using safely-managed drinking-water services (%),Albania,WSH_WATER_SAFELY_MANAGED,ALB,2022,,70.7360687256,71.0,
Proportion of population using safely-managed sanitation services (%),Albania,WSH_SANITATION_SAFELY_MANAGED,ALB,2022,,56.3464889526,56.0,
Proportion of population with primary reliance on clean fuels and technology (%),Albania,PHE_HHAIR_PROP_POP_CLEAN_FUELS,ALB,2022,,84.5999984741,85.0,
Proportion of safely treated domestic wastewater flows (%),Albania,WSH_DOMESTIC_WASTE_SAFELY_TREATED,ALB,2022,,19.4666595459,19.0,
Reported number of people requiring interventions against NTDs,Albania,SDGNTDTREATMENT,ALB,2022,,0.0,0.0,Aggregation across diseases
"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country ",Albania,SDGODA01,ALB,2022,,1.28999996185,1.3,
Tuberculosis incidence (per 100 000 population),Albania,MDG_0000000020,ALB,2022,,15.0,15.0,
Under-five mortality rate (per 1000 live births),Albania,MDG_0000000007,ALB,2022,SEX_BTSX,9.43802261353,9.0,
Age-standardized prevalence of obesity among adults (18+ years) (%),Algeria,NCD_BMI_30A,DZA,2022,SEX_BTSX,23.81498909,23.8,
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Algeria,M_Est_tob_curr_std,DZA,2022,SEX_BTSX,21.2000007629,21.2,The most recent survey was conducted in 2016-17. This is a projection.
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Algeria,SDGODAWS,DZA,2022,,1.41799998283,1.4,
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Algeria,WHS4_100,DZA,2022,,77.0,77.0,
Malaria incidence (per 1000 population at risk),Algeria,MALARIA_EST_INCIDENCE,DZA,2022,,0.0,0.0,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Algeria,MCV2,DZA,2022,,71.0,71.0,
Neonatal mortality rate (per 1000 live births),Algeria,WHOSIS_000003,DZA,2022,SEX_BTSX,15.1584596634,15.0,
New HIV infections (per 1000 uninfected population),Algeria,SDGHIV,DZA,2022,SEX_BTSX,0.050000000745,0.0,
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Algeria,PCV3,DZA,2022,,74.0,74.0,
Prevalence of obesity among children and adolescents (5–19 years) (%),Algeria,NCD_BMI_PLUS2C,DZA,2022,SEX_BTSX,15.2595300674,15.3,
Prevalence of overweight in children under 5 (%),Algeria,NUTOVERWEIGHTPREV,DZA,2022,,11.8999996185,11.9,
Prevalence of stunting in children under 5 (%),Algeria,NUTSTUNTINGPREV,DZA,2022,,8.60000038147,8.6,
Proportion of population using a hand-washing facility with soap and water (%),Algeria,WSH_HYGIENE_BASIC,DZA,2022,,84.8041000366,85.0,
Proportion of population using safely-managed drinking-water services (%),Algeria,WSH_WATER_SAFELY_MANAGED,DZA,2022,,70.5979309082,71.0,
Proportion of population using safely-managed sanitation services (%),Algeria,WSH_SANITATION_SAFELY_MANAGED,DZA,2022,,62.4100990295,62.0,
Proportion of population with primary reliance on clean fuels and technology (%),Algeria,PHE_HHAIR_PROP_POP_CLEAN_FUELS,DZA,2022,,99.6999969482,100.0,
Proportion of safely treated domestic wastewater flows (%),Algeria,WSH_DOMESTIC_WASTE_SAFELY_TREATED,DZA,2022,,76.1877288818,76.0,
Reported number of people requiring interventions against NTDs,Algeria,SDGNTDTREATMENT,DZA,2022,,5780.0,5780.0,Aggregation across diseases
"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country ",Algeria,SDGODA01,DZA,2022,,0.050000000745,0.0,
Tuberculosis incidence (per 100 000 population),Algeria,MDG_0000000020,DZA,2022,,51.0,51.0,
Under-five mortality rate (per 1000 live births),Algeria,MDG_0000000007,DZA,2022,SEX_BTSX,21.7527503967,22.0,
Age-standardized prevalence of obesity among adults (18+ years) (%),Andorra,NCD_BMI_30A,AND,2022,SEX_BTSX,18.0991802216,18.1,
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Andorra,M_Est_tob_curr_std,AND,2022,SEX_BTSX,36.2999992371,36.3,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017-18. This is a projection.
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Andorra,WHS4_100,AND,2022,,98.0,98.0,
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Andorra,SDGHPVRECEIVED,AND,2022,SEX_FMLE,83.0,83.0,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Andorra,MCV2,AND,2022,,96.0,96.0,
Neonatal mortality rate (per 1000 live births),Andorra,WHOSIS_000003,AND,2022,SEX_BTSX,1.33630096912,1.0,
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Andorra,PCV3,AND,2022,,95.0,95.0,
Prevalence of obesity among children and adolescents (5–19 years) (%),Andorra,NCD_BMI_PLUS2C,AND,2022,SEX_BTSX,11.1523103714,11.2,
Proportion of population using safely-managed drinking-water services (%),Andorra,WSH_WATER_SAFELY_MANAGED,AND,2022,,90.6399993896,91.0,
Proportion of population using safely-managed sanitation services (%),Andorra,WSH_SANITATION_SAFELY_MANAGED,AND,2022,,100.0,100.0,
Proportion of population with primary reliance on clean fuels and technology (%),Andorra,PHE_HHAIR_PROP_POP_CLEAN_FUELS,AND,2022,,100.0,100.0,
Proportion of safely treated domestic wastewater flows (%),Andorra,WSH_DOMESTIC_WASTE_SAFELY_TREATED,AND,2022,,100.0,100.0,
Reported number of people requiring interventions against NTDs,Andorra,SDGNTDTREATMENT,AND,2022,,1.0,1.0,Aggregation across diseases
Tuberculosis incidence (per 100 000 population),Andorra,MDG_0000000020,AND,2022,,5.80000019073,5.8,
Under-five mortality rate (per 1000 live births),Andorra,MDG_0000000007,AND,2022,SEX_BTSX,2.68771505356,3.0,
Age-standardized prevalence of obesity among adults (18+ years) (%),Angola,NCD_BMI_30A,AGO,2022,SEX_BTSX,11.4737300873,11.5,
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Angola,SDGODAWS,AGO,2022,,16.6441993713,16.6,
Density of dentists (per 10 000 population) ,Angola,HWF_0010,AGO,2022,,0.048000000417,0.1,
Density of medical doctors (per 10 000 population) ,Angola,HWF_0001,AGO,2022,,2.4430000782,2.4,
Density of nursing and midwifery personnel (per 10 000 population) ,Angola,HWF_0006,AGO,2022,,12.6470003128,12.6,
Density of pharmacists (per 10 000 population) ,Angola,HWF_0014,AGO,2022,,0.272000014782,0.3,
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Angola,WHS4_100,AGO,2022,,42.0,42.0,
Malaria incidence (per 1000 population at risk),Angola,MALARIA_EST_INCIDENCE,AGO,2022,,235.924484253,235.9,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Angola,MCV2,AGO,2022,,25.0,25.0,
Neonatal mortality rate (per 1000 live births),Angola,WHOSIS_000003,AGO,2022,SEX_BTSX,26.02643013,26.0,
New HIV infections (per 1000 uninfected population),Angola,SDGHIV,AGO,2022,SEX_BTSX,0.439999997616,0.4,
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Angola,PCV3,AGO,2022,,24.0,24.0,
Prevalence of obesity among children and adolescents (5–19 years) (%),Angola,NCD_BMI_PLUS2C,AGO,2022,SEX_BTSX,4.43708992004,4.4,
Prevalence of overweight in children under 5 (%),Angola,NUTOVERWEIGHTPREV,AGO,2022,,3.90000009537,3.9,
Prevalence of stunting in children under 5 (%),Angola,NUTSTUNTINGPREV,AGO,2022,,43.5999984741,43.6,
Proportion of population with primary reliance on clean fuels and technology (%),Angola,PHE_HHAIR_PROP_POP_CLEAN_FUELS,AGO,2022,,50.0,50.0,
Reported number of people requiring interventions against NTDs,Angola,SDGNTDTREATMENT,AGO,2022,,8672543.0,8672543.0,Aggregation across diseases
"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country ",Angola,SDGODA01,AGO,2022,,1.19000005722,1.2,
Tuberculosis incidence (per 100 000 population),Angola,MDG_0000000020,AGO,2022,,333.0,333.0,
Under-five mortality rate (per 1000 live births),Angola,MDG_0000000007,AGO,2022,SEX_BTSX,66.8737869263,67.0,
Age-standardized prevalence of obesity among adults (18+ years) (%),Antigua and Barbuda,NCD_BMI_30A,ATG,2022,SEX_BTSX,33.2509002686,33.3,
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Antigua and Barbuda,WHS4_100,ATG,2022,,99.0,99.0,
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Antigua and Barbuda,SDGHPVRECEIVED,ATG,2022,SEX_FMLE,2.0,2.0,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Antigua and Barbuda,MCV2,ATG,2022,,91.0,91.0,
Neonatal mortality rate (per 1000 live births),Antigua and Barbuda,WHOSIS_000003,ATG,2022,SEX_BTSX,5.34888982773,5.0,
Prevalence of obesity among children and adolescents (5–19 years) (%),Antigua and Barbuda,NCD_BMI_PLUS2C,ATG,2022,SEX_BTSX,24.4421291351,24.4,
Proportion of population with primary reliance on clean fuels and technology (%),Antigua and Barbuda,PHE_HHAIR_PROP_POP_CLEAN_FUELS,ATG,2022,,100.0,100.0,
Reported number of people requiring interventions against NTDs,Antigua and Barbuda,SDGNTDTREATMENT,ATG,2022,,48.0,48.0,Aggregation across diseases
Tuberculosis incidence (per 100 000 population),Antigua and Barbuda,MDG_0000000020,ATG,2022,,1.20000004768,1.2,
Under-five mortality rate (per 1000 live births),Antigua and Barbuda,MDG_0000000007,ATG,2022,SEX_BTSX,9.50429725647,10.0,
Age-standardized prevalence of obesity among adults (18+ years) (%),Argentina,NCD_BMI_30A,ARG,2022,SEX_BTSX,35.3552017212,35.4,
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Argentina,M_Est_tob_curr_std,ARG,2022,SEX_BTSX,23.7999992371,23.8,The most recent survey was conducted in 2018. This is a projection.
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Argentina,SDGODAWS,ARG,2022,,73.5486984253,73.6,
Density of dentists (per 10 000 population) ,Argentina,HWF_0010,ARG,2022,,9.65400028229,9.7,
Density of medical doctors (per 10 000 population) ,Argentina,HWF_0001,ARG,2022,,40.8180007935,40.8,
Density of nursing and midwifery personnel (per 10 000 population) ,Argentina,HWF_0006,ARG,2022,,43.5379981995,43.5,
Density of pharmacists (per 10 000 population) ,Argentina,HWF_0014,ARG,2022,,4.88000011444,4.9,
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Argentina,WHS4_100,ARG,2022,,81.0,81.0,
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Argentina,SDGHPVRECEIVED,ARG,2022,SEX_FMLE,54.0,54.0,
Malaria incidence (per 1000 population at risk),Argentina,MALARIA_EST_INCIDENCE,ARG,2022,,0.0,0.0,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Argentina,MCV2,ARG,2022,,93.0,93.0,
Neonatal mortality rate (per 1000 live births),Argentina,WHOSIS_000003,ARG,2022,SEX_BTSX,5.727850914,6.0,
New HIV infections (per 1000 uninfected population),Argentina,SDGHIV,ARG,2022,SEX_BTSX,0.090000003576,0.1,
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Argentina,PCV3,ARG,2022,,77.0,77.0,
Prevalence of obesity among children and adolescents (5–19 years) (%),Argentina,NCD_BMI_PLUS2C,ARG,2022,SEX_BTSX,20.2722091675,20.3,
Prevalence of overweight in children under 5 (%),Argentina,NUTOVERWEIGHTPREV,ARG,2022,,12.6000003815,12.6,
Prevalence of stunting in children under 5 (%),Argentina,NUTSTUNTINGPREV,ARG,2022,,9.5,9.5,
Proportion of population with primary reliance on clean fuels and technology (%),Argentina,PHE_HHAIR_PROP_POP_CLEAN_FUELS,ARG,2022,,99.9000015259,100.0,
Proportion of safely treated domestic wastewater flows (%),Argentina,WSH_DOMESTIC_WASTE_SAFELY_TREATED,ARG,2022,,36.4880714417,36.0,
Reported number of people requiring interventions against NTDs,Argentina,SDGNTDTREATMENT,ARG,2022,,1020.0,1020.0,Aggregation across diseases
"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country ",Argentina,SDGODA01,ARG,2022,,2.52999997139,2.5,
Tuberculosis incidence (per 100 000 population),Argentina,MDG_0000000020,ARG,2022,,29.0,29.0,
Under-five mortality rate (per 1000 live births),Argentina,MDG_0000000007,ARG,2022,SEX_BTSX,9.4352388382,9.0,
Age-standardized prevalence of obesity among adults (18+ years) (%),Armenia,NCD_BMI_30A,ARM,2022,SEX_BTSX,24.5090408325,24.5,
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Armenia,M_Est_tob_curr_std,ARM,2022,SEX_BTSX,24.8999996185,24.9,The most recent survey was conducted in 2016. This is a projection.
Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2020 US$ millions),Armenia,SDGODAWS,ARM,2022,,21.7903995514,21.8,
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Armenia,WHS4_100,ARM,2022,,93.0,93.0,
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Armenia,SDGHPVRECEIVED,ARM,2022,SEX_FMLE,15.0,15.0,
Malaria incidence (per 1000 population at risk),Armenia,MALARIA_EST_INCIDENCE,ARM,2022,,0.0,0.0,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Armenia,MCV2,ARM,2022,,94.0,94.0,
Neonatal mortality rate (per 1000 live births),Armenia,WHOSIS_000003,ARM,2022,SEX_BTSX,5.34872817993,5.0,
New HIV infections (per 1000 uninfected population),Armenia,SDGHIV,ARM,2022,SEX_BTSX,0.189999997616,0.2,
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Armenia,PCV3,ARM,2022,,93.0,93.0,
Prevalence of obesity among children and adolescents (5–19 years) (%),Armenia,NCD_BMI_PLUS2C,ARM,2022,SEX_BTSX,9.56005001068,9.6,
Prevalence of overweight in children under 5 (%),Armenia,NUTOVERWEIGHTPREV,ARM,2022,,11.5,11.5,
Prevalence of stunting in children under 5 (%),Armenia,NUTSTUNTINGPREV,ARM,2022,,7.19999980927,7.2,
Proportion of population using a hand-washing facility with soap and water (%),Armenia,WSH_HYGIENE_BASIC,ARM,2022,,94.4236602783,94.0,
Proportion of population using safely-managed drinking-water services (%),Armenia,WSH_WATER_SAFELY_MANAGED,ARM,2022,,82.4117202759,82.0,
Proportion of population using safely-managed sanitation services (%),Armenia,WSH_SANITATION_SAFELY_MANAGED,ARM,2022,,10.7531099319,11.0,
Proportion of population with primary reliance on clean fuels and technology (%),Armenia,PHE_HHAIR_PROP_POP_CLEAN_FUELS,ARM,2022,,97.9000015259,98.0,
Proportion of safely treated domestic wastewater flows (%),Armenia,WSH_DOMESTIC_WASTE_SAFELY_TREATED,ARM,2022,,0.5625,1.0,
Reported number of people requiring interventions against NTDs,Armenia,SDGNTDTREATMENT,ARM,2022,,14.0,14.0,Aggregation across diseases
"Total net official development assistance to medical research and basic health sectors per capita (US$), by recipient country ",Armenia,SDGODA01,ARM,2022,,1.25,1.2,
Tuberculosis incidence (per 100 000 population),Armenia,MDG_0000000020,ARM,2022,,25.0,25.0,
Under-five mortality rate (per 1000 live births),Armenia,MDG_0000000007,ARM,2022,SEX_BTSX,10.2828598022,10.0,
Adolescent birth rate (per 1000 women),Australia,MDG_0000000003,AUS,2022,AGEGROUP_YEARS15-19,6.80000019073,6.8,Registration National Statistics
Age-standardized prevalence of obesity among adults (18+ years) (%),Australia,NCD_BMI_30A,AUS,2022,SEX_BTSX,30.2439098358,30.2,
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Australia,M_Est_tob_curr_std,AUS,2022,SEX_BTSX,13.1000003815,13.1,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020-21. This is a projection.
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Australia,WHS4_100,AUS,2022,,94.0,94.0,
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Australia,SDGHPVRECEIVED,AUS,2022,SEX_FMLE,58.0,58.0,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Australia,MCV2,AUS,2022,,91.0,91.0,
Neonatal mortality rate (per 1000 live births),Australia,WHOSIS_000003,AUS,2022,SEX_BTSX,2.34431910515,2.0,
Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year olds (%),Australia,PCV3,AUS,2022,,96.0,96.0,
Prevalence of obesity among children and adolescents (5–19 years) (%),Australia,NCD_BMI_PLUS2C,AUS,2022,SEX_BTSX,15.7691202164,15.8,
Prevalence of overweight in children under 5 (%),Australia,NUTOVERWEIGHTPREV,AUS,2022,,21.7999992371,21.8,
Prevalence of stunting in children under 5 (%),Australia,NUTSTUNTINGPREV,AUS,2022,,3.40000009537,3.4,
Proportion of population using safely-managed sanitation services (%),Australia,WSH_SANITATION_SAFELY_MANAGED,AUS,2022,,95.8184890747,96.0,
Proportion of population with primary reliance on clean fuels and technology (%),Australia,PHE_HHAIR_PROP_POP_CLEAN_FUELS,AUS,2022,,100.0,100.0,
Proportion of safely treated domestic wastewater flows (%),Australia,WSH_DOMESTIC_WASTE_SAFELY_TREATED,AUS,2022,,95.8196029663,96.0,
Reported number of people requiring interventions against NTDs,Australia,SDGNTDTREATMENT,AUS,2022,,3477.0,3477.0,Aggregation across diseases
Tuberculosis incidence (per 100 000 population),Australia,MDG_0000000020,AUS,2022,,5.59999990463,5.6,
Under-five mortality rate (per 1000 live births),Australia,MDG_0000000007,AUS,2022,SEX_BTSX,3.75579190254,4.0,
Age-standardized prevalence of obesity among adults (18+ years) (%),Austria,NCD_BMI_30A,AUT,2022,SEX_BTSX,15.3675403595,15.4,
Age-standardized prevalence of tobacco use among persons 15 years and older (%) ,Austria,M_Est_tob_curr_std,AUT,2022,SEX_BTSX,24.8999996185,24.9,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2020. This is a projection.
Density of dentists (per 10 000 population) ,Austria,HWF_0010,AUT,2022,,6.22499990463,6.2,"Includes practising dentists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023"
Density of medical doctors (per 10 000 population) ,Austria,HWF_0001,AUT,2022,,55.0830001831,55.1,
Density of pharmacists (per 10 000 population) ,Austria,HWF_0014,AUT,2022,,7.73299980164,7.7,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023"
Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-olds (%),Austria,WHS4_100,AUT,2022,,84.0,84.0,
Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girls (%),Austria,SDGHPVRECEIVED,AUT,2022,SEX_FMLE,53.0,53.0,
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),Austria,MCV2,AUT,2022,,94.0,94.0,
Neonatal mortality rate (per 1000 live births),Austria,WHOSIS_000003,AUT,2022,SEX_BTSX,2.0373609066,2.0,
